"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2025",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday 18 March 2026   IDCJDW3033.202511,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Melbourne (Olympic Park) {station 086338},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Min temperature (°C),Max temperature (°C),Total Rainfall (mm),Time of maximum  gust,Direction of wind,max wind speed (km/h),max  gust speed(km/h),max pressure (hPa),Max Humidity (%),Min Humidity (%),,,,9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,24/09/2015,5.2,13.9,0,18:00,S,22,32,1034.7,96,63,,,,,,,,,,
,25/09/2015,6.2,18.6,0,18:00,SE,22,37,1035.2,95,43,,,,,,,,,,
,26/09/2015,6.7,17.6,0,16:30,S,15,20,1031.9,100,44,,,,,,,,,,
,27/09/2015,9.9,20.2,0,17:30,SSE,13,20,1026.2,100,32,,,,,,,,,,
,28/09/2015,8.3,21.4,0,20:30,S,19,32,1019.7,97,41,,,,,,,,,,
,29/09/2015,9.3,16.7,0,11:30,WNW,15,30,1022.2,84,44,,,,,,,,,,
,30/09/2015,7.8,15.7,0,14:30,S,20,30,1025.8,93,54,,,,,,,,,,
,1/10/2015,6,21.3,0,13:00,S,17,30,1031.8,100,33,,,,,,,,,,
,2/10/2015,10,28.4,0,12:10,N,30,37,1032.6,97,26,,,,,,,,,,
,3/10/2015,18.3,31.1,0,13:50,N,37,50,1027.6,47,17,,,,,,,,,,
,4/10/2015,14,24.5,0,6:00,S,11,20,1021.9,90,37,,,,,,,,,,
,5/10/2015,13,34.3,0,17:00,N,30,41,1022,96,14,,,,,,,,,,
,6/10/2015,14.7,35.7,0,13:15,NNW,41,70,1027.7,75,9,,,,,,,,,,
,7/10/2015,10.6,15.6,0,12:40,S,30,41,1037.4,72,44,,,,,,,,,,
,8/10/2015,7.6,18.5,0,18:00,SSW,17,24,1036.9,91,51,,,,,,,,,,
,9/10/2015,12.1,29.5,0,17:20,SW,15,19,1030.9,96,29,,,,,,,,,,
,10/10/2015,18,29.1,0.4,20:30,N,19,28,1026.2,76,34,,,,,,,,,,
,11/10/2015,13.7,19.7,0.4,17:10,SSW,20,35,1020,90,67,,,,,,,,,,
,12/10/2015,11.5,15.4,0.6,14:30,S,22,33,1023.7,100,60,,,,,,,,,,
,13/10/2015,8.1,17.3,0.4,11:30,S,19,24,1025.2,100,64,,,,,,,,,,
,14/10/2015,12,28.5,0,14:00,N,24,37,1024,95,28,,,,,,,,,,
,15/10/2015,18.3,33.9,0,12:08,N,37,54,1018.8,67,12,,,,,,,,,,
,16/10/2015,14.2,23.4,0,14:00,S,17,30,1023.4,79,48,,,,,,,,,,
,17/10/2015,11.7,19.9,0,19:00,S,19,32,1029.3,99,37,,,,,,,,,,
,18/10/2015,10.7,17.4,0,16:00,SSW,20,26,1030.1,86,54,,,,,,,,,,
,19/10/2015,8.3,26.4,0,15:30,N,22,33,1025.1,97,23,,,,,,,,,,
,20/10/2015,13,31.4,0.4,16:00,N,24,33,1018.8,96,28,,,,,,,,,,
,21/10/2015,12.5,20.9,5.6,17:30,S,24,35,1019.6,100,64,,,,,,,,,,
,22/10/2015,11.5,16.3,7,17:00,SSW,24,41,1023.3,100,67,,,,,,,,,,
,23/10/2015,10.5,15.9,0,18:30,S,22,33,1023.6,80,53,,,,,,,,,,
,24/10/2015,9.3,19,0,18:30,SSE,17,24,1023,91,52,,,,,,,,,,
,25/10/2015,10.2,31.2,0,15:16,N,32,48,1019.7,94,19,,,,,,,,,,
,26/10/2015,12.4,16.6,0.2,13:00,SSW,33,50,1026,100,58,,,,,,,,,,
,27/10/2015,10.5,23,0.2,8:30,SSE,20,33,1027.5,82,32,,,,,,,,,,
,28/10/2015,10.2,26.6,0,8:30,N,28,44,1022.4,95,25,,,,,,,,,,
,29/10/2015,14,25.9,0,18:00,SE,17,24,1022.5,93,28,,,,,,,,,,
,30/10/2015,12.7,27.2,0,19:30,SSE,20,32,1019.8,93,28,,,,,,,,,,
,31/10/2015,15.8,25.6,4.4,17:00,N,28,39,1016.7,100,49,,,,,,,,,,
,1/11/2015,15.6,25.6,0,10:30,N,30,50,1011.1,82,52,,,,,,,,,,
,2/11/2015,8.1,15.7,0.2,14:00,S,22,32,1019.8,97,49,,,,,,,,,,
,3/11/2015,11.1,17.7,0,18:00,SSW,15,32,1017.2,100,55,,,,,,,,,,
,4/11/2015,11,27.1,0.6,16:30,SE,20,30,1016.9,100,46,,,,,,,,,,
,5/11/2015,17.1,24.6,16.8,14:15,N,32,50,1009.3,100,54,,,,,,,,,,
,6/11/2015,14,18.5,17.6,19:30,S,17,28,1015.6,100,68,,,,,,,,,,
,7/11/2015,12.2,16.1,1.2,7:50,S,28,44,1022.7,79,49,,,,,,,,,,
,8/11/2015,8.6,24.6,0,15:20,WSW,9,9,1022.7,96,31,,,,,,,,,,
,9/11/2015,13.7,32.7,0,14:40,NNE,24,33,1019.6,87,22,,,,,,,,,,
,10/11/2015,11.7,18.3,2,12:30,S,19,30,1022.1,94,64,,,,,,,,,,
,11/11/2015,11.6,20,2,11:20,S,19,26,1021.9,92,61,,,,,,,,,,
,12/11/2015,13.7,21.2,0,19:30,SSW,20,32,1017.3,99,60,,,,,,,,,,
,13/11/2015,13.8,17.6,0.2,13:30,S,26,39,1019.1,91,58,,,,,,,,,,
,14/11/2015,12.3,18.1,0.2,17:40,SSE,22,37,1020.3,81,61,,,,,,,,,,
,15/11/2015,13,17.5,0.2,16:30,SSW,20,35,1021.8,87,60,,,,,,,,,,
,16/11/2015,11.5,26.1,0.2,21:00,S,11,32,1019.3,100,41,,,,,,,,,,
,17/11/2015,15.5,33.2,0,13:00,N,30,46,1013.4,90,34,,,,,,,,,,
,18/11/2015,15,29.1,0,19:40,NNE,9,13,1014.5,90,21,,,,,,,,,,
,19/11/2015,18.4,31.5,0,17:00,S,24,41,1016.1,76,20,,,,,,,,,,
,20/11/2015,14.1,19,3.4,23:00,W,15,32,1017.3,88,63,,,,,,,,,,
,21/11/2015,12.2,17,3.6,14:00,SSE,28,37,1023.2,86,50,,,,,,,,,,
,22/11/2015,13.8,19.7,0,18:00,SSW,19,30,1022.5,86,44,,,,,,,,,,
,23/11/2015,14,20.4,0,15:30,S,20,30,1018,86,48,,,,,,,,,,
,24/11/2015,13.7,24.2,0,19:30,SSW,17,26,1017.9,83,34,,,,,,,,,,
,25/11/2015,23.6,33.1,0,22:00,NW,39,63,1006.3,82,13,,,,,,,,,,
,26/11/2015,10.9,23.6,0.4,6:00,W,26,46,1017.5,75,32,,,,,,,,,,
,27/11/2015,9,18,0.4,12:00,W,19,30,1018.6,66,42,,,,,,,,,,
,28/11/2015,12.2,19.7,0,22:30,S,17,26,1018.9,74,47,,,,,,,,,,
,29/11/2015,12.7,19.6,0,17:40,S,19,30,1014.9,84,48,,,,,,,,,,
,30/11/2015,10,32,0.6,19:16,NNW,33,83,1013.1,95,23,,,,,,,,,,
,1/12/2015,12.6,23.9,1.8,17:30,SSW,22,39,1017.5,88,28,,,,,,,,,,
,2/12/2015,9.4,17.1,0,16:30,S,24,33,1027.2,66,37,,,,,,,,,,
,3/12/2015,12.3,20.6,0,17:00,SSW,19,28,1029,80,49,,,,,,,,,,
,4/12/2015,11.3,30.6,0,16:30,SSW,15,28,1024.9,100,24,,,,,,,,,,
,5/12/2015,15.5,25.3,0,16:00,SSW,17,30,1020.7,97,54,,,,,,,,,,
,6/12/2015,15.3,29.3,0,20:00,SE,13,22,1018.7,99,40,,,,,,,,,,
,7/12/2015,19,27.3,0.4,15:00,SW,11,17,1015.8,86,53,,,,,,,,,,
,8/12/2015,18.3,35.2,0.8,14:00,N,37,54,1011.7,83,21,,,,,,,,,,
,9/12/2015,15.5,24.3,0,17:30,S,26,37,1017.6,91,45,,,,,,,,,,
,10/12/2015,13.1,25.8,0,14:20,S,20,26,1017.4,90,33,,,,,,,,,,
,11/12/2015,12.2,18.7,2,13:30,WSW,24,41,1016.9,79,37,,,,,,,,,,
,12/12/2015,10.2,18,2,13:00,S,20,32,1019.4,67,45,,,,,,,,,,
,13/12/2015,10.4,28.1,0,19:20,SSW,15,22,1017.2,86,18,,,,,,,,,,
,14/12/2015,12,22.3,0,15:30,SSW,28,33,1016.8,90,44,,,,,,,,,,
,15/12/2015,14.5,24.2,0,15:30,SSW,28,30,1016.3,88,56,,,,,,,,,,
,16/12/2015,15.7,26.9,0,14:30,SSW,28,41,1016.8,100,46,,,,,,,,,,
,17/12/2015,17,37,0,12:30,NNW,30,35,1013.9,98,15,,,,,,,,,,
,18/12/2015,20.3,34.8,0,11:30,SSW,22,32,1011.5,88,21,,,,,,,,,,
,19/12/2015,19.3,40.9,0,17:30,NNW,35,54,1008.3,97,14,,,,,,,,,,
,20/12/2015,17.9,37.2,6,14:44,S,30,54,1013.2,95,19,,,,,,,,,,
,21/12/2015,14.4,19.7,0,12:30,S,22,35,1025.8,62,48,,,,,,,,,,
,22/12/2015,12.1,22.5,0,17:00,SW,22,30,1025.4,91,53,,,,,,,,,,
,23/12/2015,15.2,25.9,0.4,18:20,SSW,22,28,1018.5,99,54,,,,,,,,,,
,24/12/2015,16.7,34.4,0.4,16:40,ESE,19,28,1016.5,96,18,,,,,,,,,,
,25/12/2015,22.6,34,0,11:30,N,32,54,1011.4,45,22,,,,,,,,,,
,26/12/2015,12.7,29.1,30.6,4:00,SSW,24,48,1018.2,98,48,,,,,,,,,,
,27/12/2015,11.9,19,5.2,17:30,SSW,22,32,1026,90,44,,,,,,,,,,
,28/12/2015,12.9,20.3,0,15:50,S,24,41,1026.2,73,51,,,,,,,,,,
,29/12/2015,12.5,23.7,0,16:10,SSW,19,39,1024.9,100,41,,,,,,,,,,
,30/12/2015,14,34.5,0,13:10,N,28,33,1019.4,100,13,,,,,,,,,,
,31/12/2015,21.9,39.3,0,12:40,NW,24,35,1012.6,67,10,,,,,,,,,,
,1/01/2016,18.5,24.5,0,22:00,SSW,22,33,1016,82,43,,,,,,,,,,
,2/01/2016,17.2,27.5,0,22:10,SE,28,48,1016.5,80,44,,,,,,,,,,
,3/01/2016,17.5,26.2,0,0:00,ESE,19,37,1017.8,75,42,,,,,,,,,,
,4/01/2016,16.3,25.2,0,0:00,ESE,13,24,1019.5,88,44,,,,,,,,,,
,5/01/2016,17.2,25.5,0,14:00,SSW,17,26,1018.3,79,46,,,,,,,,,,
,6/01/2016,17.4,25.2,0,16:00,SSE,28,39,1020.1,87,50,,,,,,,,,,
,7/01/2016,16.4,20.8,0,15:30,SSW,28,43,1023.1,86,60,,,,,,,,,,
,8/01/2016,16.2,20.2,0,16:40,S,22,33,1023.4,76,63,,,,,,,,,,
,9/01/2016,16.2,21.4,0,16:40,S,22,33,1021.9,80,59,,,,,,,,,,
,10/01/2016,15.8,31,0,19:00,SSW,13,24,1018.7,80,25,,,,,,,,,,
,11/01/2016,17.2,35.8,0.8,16:00,WNW,20,41,1012.4,90,19,,,,,,,,,,
,12/01/2016,17.1,24.7,0.8,19:00,SSW,17,26,1015.7,89,58,,,,,,,,,,
,13/01/2016,17,41.7,0.2,18:00,SW,32,52,1013.9,95,12,,,,,,,,,,
,14/01/2016,14.6,25.3,0.8,22:00,S,32,44,1027,92,49,,,,,,,,,,
,15/01/2016,13.8,18.9,1,9:00,SSE,20,26,1031,74,48,,,,,,,,,,
,16/01/2016,12,22,0,16:30,S,24,35,1029.8,78,47,,,,,,,,,,
,17/01/2016,15,32.1,0,10:00,N,24,41,1023.3,82,19,,,,,,,,,,
,18/01/2016,19.2,34.9,0,12:10,NNE,30,43,1016.2,64,16,,,,,,,,,,
,19/01/2016,18.3,30.6,0,17:50,SSW,19,26,1014.5,75,35,,,,,,,,,,
,20/01/2016,19.1,28.6,1,18:30,SSE,17,30,1011.2,88,53,,,,,,,,,,
,21/01/2016,18.3,26.4,0.8,21:00,SSW,19,32,1011,94,54,,,,,,,,,,
,22/01/2016,17.6,22.6,6.8,8:30,SW,11,24,1011.4,98,74,,,,,,,,,,
,23/01/2016,16.7,21.5,7,17:30,S,20,35,1015.1,100,61,,,,,,,,,,
,24/01/2016,16.3,22.2,5.2,15:30,S,19,33,1015.4,100,65,,,,,,,,,,
,25/01/2016,17.3,20.7,0.4,16:30,S,24,35,1017.6,84,55,,,,,,,,,,
,26/01/2016,16.6,29,0,20:20,SE,20,30,1017.9,93,40,,,,,,,,,,
,27/01/2016,20.1,28.9,3.6,17:50,NNW,30,37,1012.8,88,40,,,,,,,,,,
,28/01/2016,18.7,27.2,4.4,19:30,S,20,35,1006.4,98,54,,,,,,,,,,
,29/01/2016,14,18,14.2,17:30,S,11,19,1006.5,97,69,,,,,,,,,,
,30/01/2016,12.4,23.2,9.8,9:00,N,24,39,1007.2,96,60,,,,,,,,,,
,31/01/2016,15,21.2,10.6,13:30,N,30,50,1005.1,97,50,,,,,,,,,,
,1/02/2016,12.5,23.3,0,17:30,SSW,15,24,1007.4,90,45,,,,,,,,,,
,2/02/2016,15.5,31.3,0,18:00,N,13,24,1006.7,100,27,,,,,,,,,,
,3/02/2016,17.9,20.7,2.4,17:00,S,22,43,1016.3,98,58,,,,,,,,,,
,4/02/2016,17.3,20.5,2.4,17:30,SSW,20,39,1020.2,79,59,,,,,,,,,,
,5/02/2016,15.5,29.2,0,17:40,SE,22,30,1020.1,87,33,,,,,,,,,,
,6/02/2016,17,32.4,0,10:30,N,20,30,1017.6,86,25,,,,,,,,,,
,7/02/2016,19.1,27.3,0,17:00,SSW,19,35,1019.9,87,49,,,,,,,,,,
,8/02/2016,19,22.5,0,14:40,SSW,26,33,1023,83,55,,,,,,,,,,
,9/02/2016,17.8,22.5,0,18:20,SSW,22,28,1022.7,85,60,,,,,,,,,,
,10/02/2016,17.5,22.9,0,15:00,S,20,28,1016.7,89,57,,,,,,,,,,
,11/02/2016,18.1,23.6,0,17:00,S,26,41,1017.9,79,51,,,,,,,,,,
,12/02/2016,17,24.6,0,12:00,SSW,15,26,1017.4,93,57,,,,,,,,,,
,13/02/2016,17.7,29.9,0,16:00,S,22,37,1010.9,93,32,,,,,,,,,,
,14/02/2016,16.4,23.8,0,16:00,S,22,35,1014.6,75,37,,,,,,,,,,
,15/02/2016,14.2,25.5,0,20:50,SSW,24,39,1014.2,84,32,,,,,,,,,,
,16/02/2016,13.7,18.8,3.6,19:10,S,30,41,1018.5,89,45,,,,,,,,,,
,17/02/2016,13.3,20.6,0.6,18:00,S,20,41,1018,91,45,,,,,,,,,,
,18/02/2016,16,22.6,1.2,16:30,S,20,44,1013.5,94,59,,,,,,,,,,
,19/02/2016,16,21.6,0.2,15:20,SSW,24,33,1018.9,96,56,,,,,,,,,,
,20/02/2016,15.8,20.1,0,15:00,SSW,24,37,1025.2,68,42,,,,,,,,,,
,21/02/2016,12.6,24.5,0,22:00,W,7,15,1025,89,47,,,,,,,,,,
,22/02/2016,15.7,27.9,0,12:20,SSW,2,6,1022.6,98,35,,,,,,,,,,
,23/02/2016,23.1,39.1,0,15:00,N,28,50,1016.8,81,18,,,,,,,,,,
,24/02/2016,20.1,25.3,0.2,20:00,SSE,13,24,1012.4,91,58,,,,,,,,,,
,25/02/2016,19.6,26.3,0.4,17:30,S,20,30,1016.9,95,54,,,,,,,,,,
,26/02/2016,15.6,22.7,0,12:00,S,20,28,1021.4,74,47,,,,,,,,,,
,27/02/2016,18,21.6,0,16:30,S,20,30,1022.1,75,56,,,,,,,,,,
,28/02/2016,18,22.1,0,17:30,S/SSW,19,32,1022.1,74,48,,,,,,,,,,
,29/02/2016,15.1,23.4,0,17:00,SSW,22,33,1021.9,87,52,,,,,,,,,,
,1/03/2016,17.4,33.4,0,13:00,N,32,43,1018.6,93,20,,,,,,,,,,
,2/03/2016,17.7,34.7,0,19:00,SSW,26,39,1022.2,84,20,,,,,,,,,,
,3/03/2016,17.5,23.5,0.2,17:30,SSW,17,32,1022.2,85,49,,,,,,,,,,
,4/03/2016,16.5,32.8,1.2,16:10,SW,11,26,1021.4,93,36,,,,,,,,,,
,5/03/2016,18.6,23.3,1.2,15:50,SSW,17,26,1021.6,95,67,,,,,,,,,,
,6/03/2016,17.4,24.7,0,16:30,SSW,26,35,1021.5,86,61,,,,,,,,,,
,7/03/2016,18.6,24.7,3.2,17:40,SW,15,28,1021.8,98,58,,,,,,,,,,
,8/03/2016,20,38.6,0.6,17:40,NNW,20,37,1018.7,92,20,,,,,,,,,,
,9/03/2016,20.3,26.6,0,21:00,S,15,28,1022.1,87,54,,,,,,,,,,
,10/03/2016,18.2,21.6,8.4,0:00,N,0,0,1022.7,100,74,,,,,,,,,,
,11/03/2016,20.8,25.9,0.2,16:00,SSW,15,26,1019.7,88,66,,,,,,,,,,
,12/03/2016,19.2,21.9,0,15:50,SSW,15,26,1022.3,83,79,,,,,,,,,,
,13/03/2016,19.6,22.9,0,16:40,S,17,30,1020.2,83,72,,,,,,,,,,
,14/03/2016,15.7,19.8,0,17:50,S,17,35,1022.7,71,58,,,,,,,,,,
,15/03/2016,17.9,26.4,0,19:00,SE,24,44,1019.9,73,47,,,,,,,,,,
,16/03/2016,20.9,31,0,20:00,ESE,13,22,1014.7,75,34,,,,,,,,,,
,17/03/2016,27.3,32.4,0,17:10,N,22,37,1006.9,38,31,,,,,,,,,,
,18/03/2016,13.9,18.5,5.6,16:00,SSW,22,48,1011.1,77,46,,,,,,,,,,
,19/03/2016,14.7,17.6,0.2,20:20,SSE,15,30,1021.1,70,38,,,,,,,,,,
,20/03/2016,15.4,22.5,0,20:30,SE,15,28,1021.3,67,38,,,,,,,,,,
,21/03/2016,16.3,23.1,0,17:20,SSE,19,33,1020.8,72,41,,,,,,,,,,
,22/03/2016,15.9,24.2,0,18:20,SSW,11,19,1017.6,95,43,,,,,,,,,,
,23/03/2016,19,28.2,0,14:00,W,11,24,1020,84,24,,,,,,,,,,
,24/03/2016,16.4,20.7,0,16:10,SSW,15,26,1021,76,65,,,,,,,,,,
,25/03/2016,15.3,19.9,0.4,16:00,S,15,26,1021.4,79,47,,,,,,,,,,
,26/03/2016,17.1,19.9,0,20:40,S,13,28,1022.1,82,60,,,,,,,,,,
,27/03/2016,14,19.3,0.2,17:40,S,19,35,1023.1,58,41,,,,,,,,,,
,28/03/2016,15.7,19,0,20:30,SSE,17,32,1021.8,57,42,,,,,,,,,,
,29/03/2016,15.8,17.4,0,16:00,SSE,17,33,1021.9,61,52,,,,,,,,,,
,30/03/2016,12.4,18.4,0,15:20,S,17,32,1022.1,76,46,,,,,,,,,,
,31/03/2016,16.4,21.7,0,16:40,SSW,9,15,1018.8,77,51,,,,,,,,,,
,1/04/2016,21.7,26.3,0,17:30,N,26,46,1012.8,34,30,,,,,,,,,,
,2/04/2016,15.6,18.7,0,17:00,S,19,33,1025.4,61,44,,,,,,,,,,
,3/04/2016,11.2,18.3,0,15:00,S,19,33,1026.9,80,46,,,,,,,,,,
,4/04/2016,12.8,21.1,0,15:00,SSW,9,15,1018.3,97,51,,,,,,,,,,
,5/04/2016,17.7,28.7,0,15:40,NNW,22,37,1014.7,85,21,,,,,,,,,,
,6/04/2016,11.9,15.1,6.8,17:10,SSW,13,26,1023.7,91,63,,,,,,,,,,
,7/04/2016,13.2,17.6,0,15:00,S,7,13,1025.3,90,56,,,,,,,,,,
,8/04/2016,12.7,19.6,0,16:00,S,6,15,1024.2,82,41,,,,,,,,,,
,9/04/2016,14.5,21.6,0,15:20,S,9,20,1020.8,82,45,,,,,,,,,,
,10/04/2016,16.8,23.3,0,15:50,SW,17,35,1020.1,67,40,,,,,,,,,,
,11/04/2016,15,19.2,0,17:50,S,17,30,1024.2,81,67,,,,,,,,,,
,12/04/2016,12.8,18.1,0.2,17:10,SSW,15,24,1027.3,92,59,,,,,,,,,,
,13/04/2016,13.6,19.6,0,15:30,SSW,17,26,1028.3,84,57,,,,,,,,,,
,14/04/2016,15.6,27,0,14:10,N,20,39,1025.2,95,30,,,,,,,,,,
,15/04/2016,15.4,26.6,0,17:30,SSW,13,24,1021.9,84,30,,,,,,,,,,
,16/04/2016,13.5,17.3,0,14:10,S,17,32,1025.4,88,63,,,,,,,,,,
,17/04/2016,11.2,19.6,0,15:10,SSW,15,30,1022.4,90,45,,,,,,,,,,
,18/04/2016,15.2,24.8,0,14:10,NNW,20,32,1018.8,80,35,,,,,,,,,,
,19/04/2016,17.7,27.1,0,14:10,N,19,32,1021.3,58,32,,,,,,,,,,
,20/04/2016,20.1,27.8,0,14:00,N,20,35,1020.2,47,29,,,,,,,,,,
,21/04/2016,15.7,19.6,21.2,14:50,SSW,11,24,1023.7,100,70,,,,,,,,,,
,22/04/2016,14.4,16.2,0,14:50,S,19,33,1029.8,62,50,,,,,,,,,,
,23/04/2016,13.5,18.7,0,17:30,S,15,28,1032.2,87,67,,,,,,,,,,
,24/04/2016,11.8,19.8,0,13:50,SSW,13,19,1031.5,97,53,,,,,,,,,,
,25/04/2016,14.2,24.9,0,15:30,N,19,33,1029.1,71,34,,,,,,,,,,
,26/04/2016,15,25.5,0,13:30,N,24,35,1025.7,52,28,,,,,,,,,,
,27/04/2016,22.3,25.1,0,13:50,N,28,50,1017.9,42,37,,,,,,,,,,
,28/04/2016,16.9,24.8,0,14:00,NNW,9,17,1018.4,79,41,,,,,,,,,,
,29/04/2016,17.5,18.4,6.2,22:10,N,19,28,1015.3,95,79,,,,,,,,,,
,30/04/2016,20.3,23.8,0,14:50,N,28,46,1013.7,74,56,,,,,,,,,,
,1/05/2016,11,15.8,0.4,15:20,W,20,46,1017.1,65,49,,,,,,,,,,
,2/05/2016,14.4,18.3,0,13:50,NNW,28,50,1010.8,55,41,,,,,,,,,,
,3/05/2016,13.7,19.4,0.2,13:50,NNW,33,63,1010.5,79,52,,,,,,,,,,
,4/05/2016,14.5,17.5,0,14:00,NNW,20,33,1018,59,41,,,,,,,,,,
,5/05/2016,17.4,20.3,0,14:26,N,28,50,1014.8,58,51,,,,,,,,,,
,6/05/2016,12.7,24.5,0,14:40,N,20,33,1017.9,90,38,,,,,,,,,,
,7/05/2016,17.2,24.5,0,16:00,N,19,32,1016.5,64,37,,,,,,,,,,
,8/05/2016,17.3,19.3,0.8,23:40,NNE,15,24,1006.1,91,80,,,,,,,,,,
,9/05/2016,14.3,17.9,10,13:50,N,33,63,997.1,80,63,,,,,,,,,,
,10/05/2016,13.6,17,0.2,15:20,WSW,20,39,1013.9,64,45,,,,,,,,,,
,11/05/2016,15,17.2,0.2,22:30,NNW,17,32,1011.2,79,52,,,,,,,,,,
,12/05/2016,16.1,21,0,22:40,W,20,39,1018.7,74,51,,,,,,,,,,
,13/05/2016,16.1,21.3,0,18:40,NNW,19,32,1022.2,69,46,,,,,,,,,,
,14/05/2016,17.5,21.6,0,16:10,N,24,41,1017,59,51,,,,,,,,,,
,15/05/2016,10,20.5,0,15:40,SSW,15,33,1020.5,86,45,,,,,,,,,,
,16/05/2016,15.9,18.9,0.2,17:40,N,28,57,1013.5,79,57,,,,,,,,,,
,17/05/2016,13.1,16.9,0,17:50,SW,11,20,1020.1,74,50,,,,,,,,,,
,18/05/2016,15.5,18.9,0,15:20,WNW,20,32,1017,61,43,,,,,,,,,,
,19/05/2016,14.7,17.6,1.8,22:00,W,20,39,1019.1,86,64,,,,,,,,,,
,20/05/2016,10.5,16.4,0,21:10,NNE,11,15,1025.5,83,59,,,,,,,,,,
,21/05/2016,13.6,17.9,0,15:10,N,22,37,1022.6,70,53,,,,,,,,,,
,22/05/2016,19.7,22.1,0,23:04,N,28,46,1013.2,54,42,,,,,,,,,,
,23/05/2016,11.2,17.1,1.8,14:50,WNW,17,39,1020.6,90,38,,,,,,,,,,
,24/05/2016,8.1,15.7,0,16:00,SSW,11,19,1020.8,87,53,,,,,,,,,,
,25/05/2016,10.8,13.8,8.8,17:00,N,26,46,1011,90,64,,,,,,,,,,
,26/05/2016,9.8,12.1,4.8,22:00,W,11,24,1008.1,90,75,,,,,,,,,,
,27/05/2016,7.5,13.7,0,15:30,SSW,6,11,1009.3,94,58,,,,,,,,,,
,28/05/2016,10.3,13.2,4.2,18:30,S,17,32,1017.7,76,61,,,,,,,,,,
,29/05/2016,8.6,13.5,0,14:40,WNW,11,19,1024.5,77,49,,,,,,,,,,
,30/05/2016,6.7,14,0,14:40,SSW,9,17,1029.7,92,53,,,,,,,,,,
,31/05/2016,7.3,17.1,0,16:30,NNE,11,17,1029.9,91,35,,,,,,,,,,
,1/06/2016,7,15.4,0,15:30,SW,7,11,1028.3,100,60,,,,,,,,,,
,2/06/2016,10,11.8,0,17:00,SSW,7,15,1027.5,98,83,,,,,,,,,,
,3/06/2016,11.2,14,3.2,15:40,S,7,11,1023.1,100,69,,,,,,,,,,
,4/06/2016,12.5,13.3,2.4,21:50,NW,7,11,1013,100,100,,,,,,,,,,
,5/06/2016,12.6,13.9,1.4,23:50,NW,9,13,1004.2,100,95,,,,,,,,,,
,6/06/2016,11.3,14,0,16:10,N,24,35,1003.4,80,68,,,,,,,,,,
,7/06/2016,12.9,15.3,1.2,17:30,W,13,30,1006.8,84,75,,,,,,,,,,
,8/06/2016,12.4,14.5,1.4,23:40,N,24,41,1006,87,68,,,,,,,,,,
,9/06/2016,12,17,0.2,15:40,WSW,15,32,1014.1,93,54,,,,,,,,,,
,10/06/2016,11.3,15,3,18:30,N,19,32,1021.7,92,57,,,,,,,,,,
,11/06/2016,8.5,13.2,3,15:00,SSW,20,30,1034.7,81,54,,,,,,,,,,
,12/06/2016,6.1,13.7,0,15:30,S,11,15,1038.4,91,48,,,,,,,,,,
,13/06/2016,10,13.3,0,21:50,N,26,37,1034.6,68,52,,,,,,,,,,
,14/06/2016,7.9,15.3,0,14:40,NNE,20,28,1036,89,50,,,,,,,,,,
,15/06/2016,9.1,17.5,0,14:30,N,11,17,1029.5,85,50,,,,,,,,,,
,16/06/2016,12.2,14,2.2,17:30,N,24,35,1016.3,88,70,,,,,,,,,,
,17/06/2016,12.4,15.1,4.8,23:40,SSE,17,24,1017.1,100,90,,,,,,,,,,
,18/06/2016,7.4,12.1,0.4,18:00,SE,9,13,1022.7,100,72,,,,,,,,,,
,19/06/2016,11.1,13.2,0,23:00,SSE,15,24,1014.7,95,63,,,,,,,,,,
,20/06/2016,11.5,13.1,3,15:30,SSW,15,26,1005.4,100,82,,,,,,,,,,
,21/06/2016,11.4,13.7,0,15:11,NNW,32,46,998.3,83,69,,,,,,,,,,
,22/06/2016,11.8,15.1,0.6,15:30,NW,24,33,1008.2,77,51,,,,,,,,,,
,23/06/2016,8.3,14.3,12.4,15:09,N,33,52,1000.9,92,57,,,,,,,,,,
,24/06/2016,5.7,10.5,1.8,15:50,WSW,17,39,1018.9,83,58,,,,,,,,,,
,25/06/2016,5.8,12.6,0,16:00,S,9,17,1023.5,96,60,,,,,,,,,,
,26/06/2016,6.9,10.4,0,15:00,N,20,30,1018.4,82,55,,,,,,,,,,
,27/06/2016,6.8,10.4,0.2,22:30,N,9,13,1022.3,99,77,,,,,,,,,,
,28/06/2016,10.6,16.6,0,16:00,NNW,9,19,1027.3,87,56,,,,,,,,,,
,29/06/2016,11.5,15.4,0,22:50,NNW,35,43,1024.8,68,51,,,,,,,,,,
,30/06/2016,7.4,11.1,3.8,14:36,N,30,50,1010.8,86,68,,,,,,,,,,
,1/07/2016,11.3,13.5,0.2,22:00,N,19,28,1024.2,78,60,,,,,,,,,,
,2/07/2016,13.7,15.5,0,14:30,WSW,17,26,1026.3,66,55,,,,,,,,,,
