Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5434-1,9/6/2018,Beth Thompson,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,High,Smiths Colored Bar Computer Paper,Office Supplies,Small Box,Regular Air,9/6/2018,$21.97,$35.44,$13.47,28,$544.50,10%,$39.01,$492.55,$4.92,$500.00
5434-1,6/3/2019,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Beekin 6 Outlet Metallic Surge Strip,Technology,Small Box,Regular Air,7/3/2019,$4.46,$10.89,$6.43,38,$348.48,9%,$34.85,$313.63,$4.50,$318.13
5434-1,1/5/2018,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Low,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2/5/2018,$2.29,$3.69,$1.40,40,$149.50,4%,$4.49,$145.02,$0.50,$146.52
5435-1,16/10/2019,Odella Nelson,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,High,Artisan 479 Labels,Technology,Small Pack,Regular Air,18/10/2019,$1.59,$2.61,$1.02,32,$144.00,8%,$1.44,$142.56,$0.50,$143.86
5435-1,25/7/2020,Valerie Mitchmen,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Artisan Non-Stick Binders,Technology,Small Box,Regular Air,27/7/2020,$2.74,$4.49,$1.75,13,$83.52,4%,$2.63,$84.11,$1.49,$73.68
5435-1,25/2/2019,Gary Hwang,"61 York St,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Low,Steady Pocket Accent Highlighters,Office Supplies,Small Box,Regular Air,27/2/2019,$0.93,$1.60,$0.67,32,$220.44,10%,$6.61,$213.83,$1.29,$215.33
5436-1,4/7/2019,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Medium,Smiths Standard Envelopes,Technology,Jumbo Drum,Delivery Truck,6/7/2019,$3.52,$5.68,$2.16,5,$220.44,1%,$6.61,$213.83,$1.39,$213.33
5436-1,11/3/2019,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Airmail Envelopes,Office Supplies,Wrap Bag,Regular Air,12/3/2019,$52.04,$83.93,$31.89,22,"$4,196.50",9%,$419.65,"$3,776.85",$19.99,"$3,796.84"
5436-1,13/1/2019,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Airmail Envelopes,Office Supplies,Small Box,Regular Air,18/1/2019,$52.04,$83.93,$31.89,40,"$4,196.50",3%,$419.65,"$3,776.85",$19.99,"$3,796.84"
5438-1,7/8/2019,John Lucas,"178 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Critical,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,9/8/2019,$0.93,$1.48,$0.55,32,$88.96,6%,$3.76,$86.96,$0.70,$82.15
5438-1,25/3/2020,Ed Braxton,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Low,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,27/3/2020,$2.50,$5.68,$3.18,1,$93.52,6%,$0.00,$99.66,$3.60,$92.64
5438-1,12/3/2019,Matt Collister,"97 Glebe Point Rd,Glebe",Sydney,NSW,Small Business,Nicholas Fernandes,High,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Wrap Bag,Regular Air,13/3/2019,$21.56,$35.94,$14.38,2,$504.90,4%,$10.10,$494.80,$6.66,$501.98
5438-1,16/12/2018,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,19/12/2018,$1.84,$2.88,$1.04,34,$40.30,5%,$2.00,$38.36,$0.99,$39.02
5438-1,4/4/2019,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,5/4/2019,$3.84,$6.30,$2.46,8,$113.40,1%,$11.34,$102.06,$0.50,$102.56
5439-1,5/7/2018,Robert Barroso,"163 Concord Road,North Strathfield",Sydney,NSW,Consumer,Charlie Bui,Low,Steady Major Accent Highlighters,Technology,Jumbo Drum,Delivery Truck,7/7/2018,$3.75,$7.08,$3.33,34,$240.72,2%,$6.22,$233.50,$2.35,$235.85
5439-1,5/7/2018,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,7/7/2018,$3.75,$7.08,$3.33,11,$240.72,1%,$7.22,$233.50,$2.35,$235.85
5439-1,13/3/2019,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Steady Major Accent Highlighters,Office Supplies,Small Box,Regular Air,13/3/2019,$3.75,$7.08,$3.33,38,$240.72,4%,$7.22,$233.50,$2.35,$235.85
5439-1,13/3/2019,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Steady Major Accent Highlighters,Office Supplies,Small Box,Regular Air,13/3/2019,$3.75,$7.08,$3.33,27,$240.72,3%,$7.22,$233.50,$2.35,$235.85
5439-1,13/3/2019,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Medium,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,13/3/2019,$3.75,$7.08,$3.33,31,$240.72,4%,$7.22,$233.50,$2.35,$235.85
5439-1,4/1/2019,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Small Business,Preston Senome,Critical,Cando S750 Color Inkjet Printer,Technology,Small Box,Regular Air,6/1/2019,$75.00,$120.97,$45.97,39,"$2,240.98",0%,$45.00,"$2,216.76",$26.30,"$2,226.74"
5439-1,13/3/2019,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,Steady Major Accent Highlighters,Technology,Small Box,Regular Air,13/3/2019,$3.75,$7.08,$3.33,5,$240.72,3%,$7.22,$233.50,$2.35,$235.85
5440-1,18/9/2019,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Low,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Wrap Bag,Regular Air,20/9/2019,$4.46,$10.89,$6.43,48,$258.30,7%,$0.00,$258.30,$4.50,$263.31
5440-1,9/8/2018,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Pack,Express Air,16/8/2018,$13.88,$22.38,$8.50,7,$880.16,5%,$38.23,$708.06,$15.10,$735.26
5440-1,21/7/2018,Adam Shillingsburg,"Westfield Parramatta,Parramatta",Sydney,NSW,Corporate,Stevie Bacata,Not Specified,Smiths Colored Bar Computer Paper,Office Supplies,Wrap Bag,Regular Air,23/7/2018,$21.97,$35.44,$13.47,42,$469.90,5%,$38.97,$457.25,$4.92,$450.57
5440-1,10/8/2018,Edward Hooks,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Amtisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,12/8/2018,$5.33,$8.60,$3.27,19,$287.00,0%,$28.70,$258.30,$6.19,$263.31
5442-1,4/7/2019,Patrick ODonnell,"22 Wentworth St,Parramatta",Sydney,NSW,Corporate,Aanya Zhang,Low,Barrel Sharpener,Office Supplies,Wrap Bag,Express Air,5/7/2019,$1.46,$3.57,$2.11,33,$136.04,7%,$10.36,$121.80,$4.17,$131.06
5443-1,18/11/2018,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Consumer,Mihael Khan,Medium,Binder Posts,Office Supplies,Small Box,Regular Air,20/11/2018,$3.50,$5.74,$2.24,10,$63.12,9%,$6.14,$61.60,$5.01,$63.47
5443-1,28/8/2019,Ruben Ausman,"Crown Complex,Southbank",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,29/8/2019,$1.84,$2.88,$1.04,1,$49.30,10%,$3.95,$45.44,$0.99,$46.04
5443-1,13/9/2019,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Medium,Office Shears by Apex,Office Supplies,Wrap Bag,Regular Air,21/9/2019,$0.94,$2.08,$1.14,46,$119.84,5%,$5.93,$119.61,$2.56,$110.63
5443-1,3/8/2018,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,3/8/2018,$6.39,$19.98,$13.59,15,$232.80,4%,$2.24,$211.52,$4.00,$226.54
5443-1,29/3/2019,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Small Business,Charlie Bui,Not Specified,Apex Forged Steel Scissors with Black Enamel Handles,Office Supplies,Small Box,Regular Air,30/3/2019,$4.10,$9.31,$5.21,27,$131.40,3%,$6.57,$126.83,$3.98,$131.63
5444-1,25/6/2020,Beth Paige,"73 York St,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Smiths General Use 3-Ring Binders,Office Supplies,Wrap Bag,Regular Air,26/6/2020,$1.18,$1.88,$0.70,1,$9.40,2%,$0.75,$8.65,$1.49,$10.14
5444-1,17/3/2019,Carl Ludwig,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,High,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Wrap Bag,Regular Air,18/3/2019,$7.13,$20.98,$13.85,12,$743.50,2%,$0.00,$743.50,$5.42,$750.14
5444-1,13/3/2019,Victoria Pisteka,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,High,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Wrap Bag,Regular Air,12/3/2019,$8.92,$29.74,$20.82,46,$743.50,5%,$0.00,$743.50,$6.64,$750.14
5444-1,26/6/2018,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,Smiths Gold Paper Clips,Office Supplies,Small Box,Express Air,27/6/2018,$1.82,$2.98,$1.16,26,$8.94,3%,$0.80,$8.14,$1.58,$9.62
5445-1,17/3/2019,Chad Cunningham,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,18/3/2019,$60.59,$100.98,$40.39,1,$744.24,8%,$0.00,$744.24,$7.18,$749.16
5445-1,14/2/2019,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,16/2/2019,$3.84,$6.30,$2.46,43,$120.68,3%,$12.01,$113.18,$0.50,$113.09
5445-1,8/6/2019,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Critical,1726 Digital Answering Machine,Office Supplies,Small Box,Regular Air,10/6/2019,$8.82,$20.99,$12.17,17,$82.72,5%,$8.52,$760.91,$4.81,$756.75
5445-1,15/2/2019,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Small Box,Regular Air,20/2/2019,$2.29,$3.58,$1.29,10,$107.00,6%,$0.00,$106.50,$1.63,$104.00
5445-1,5/6/2018,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Medium,12 Colored Short Pencils,Technology,Small Box,Regular Air,5/6/2018,$1.09,$2.60,$1.51,9,$116.92,10%,$9.04,$106.82,$2.40,$107.05
5445-1,10/12/2019,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Smiths General Use 3-Ring Binders,Office Supplies,Wrap Bag,Regular Air,11/12/2019,$1.18,$1.88,$0.70,47,$47.20,7%,$4.76,$43.20,$1.49,$45.00
5446-1,2/3/2019,Muth Yarre,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,Low,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Regular Air,3/3/2019,$2.26,$3.58,$1.32,38,$139.62,6%,$0.00,$139.62,$5.47,$145.09
5446-1,25/9/2020,Roy Phan,"506 Swan Street,Richmond",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,Wrap Bag,Regular Air,27/9/2020,$8.92,$29.74,$20.82,27,$636.02,0%,$32.17,$528.39,$6.64,$531.69
5446-1,8/5/2019,Michelle Moray,"310 Wattle St,Ultimo",Sydney,NSW,Home Office,Aanya Zhang,High,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,12/5/2019,$2.26,$3.58,$1.32,3,$139.62,0%,$0.00,$139.62,$5.47,$145.09
5447-1,27/12/2019,Todd Boyes,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Home Office,Preston Senome,Not Specified,Apex Straight Scissors,Office Supplies,Small Box,Regular Air,29/12/2019,$5.19,$12.98,$7.79,41,$552.25,10%,$30.39,$528.39,$3.14,$531.84
5448-1,4/4/2019,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 48 Labels,Office Supplies,Wrap Bag,Regular Air,5/4/2019,$3.84,$6.30,$2.46,17,$113.40,9%,$11.34,$102.06,$0.50,$102.56
5449-1,28/3/2019,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,28/3/2019,$6.39,$19.98,$13.59,37,$526.38,3%,$15.79,$510.59,$4.00,$522.98
5449-1,23/3/2018,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,26/3/2018,$2.26,$3.58,$1.32,24,$23.06,10%,$2.16,$20.36,$5.47,$22.66
5449-1,24/2/2019,Pauline Chand,"61 York St,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Low,Smiths Pushpins,Office Supplies,Wrap Bag,Regular Air,26/2/2019,$0.94,$1.88,$0.94,37,$536.52,4%,$10.43,$522.19,$0.79,$516.99
5449-1,28/3/2019,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,High,Brown Kraft Recycled Envelopes,Office Supplies,Small Box,Regular Air,28/3/2019,$11.04,$16.98,$5.94,18,$526.38,10%,$15.79,$510.59,$12.39,$522.98
5450-1,3/9/2018,Darrin Martin,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Low,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,5/9/2018,$3.32,$5.18,$1.86,10,$101.26,10%,$2.32,$90.68,$2.04,$92.33
5450-1,29/3/2019,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Small Business,Charlie Bui,Critical,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Wrap Bag,Regular Air,30/3/2019,$4.53,$7.30,$2.77,8,$131.40,10%,$6.57,$124.83,$7.72,$132.55
5450-1,4/4/2019,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,Yvette Biti,Critical,"Alto Parchment Paper, Assorted Colors",Technology,Small Box,Regular Air,5/4/2019,$4.59,$7.28,$2.69,8,$153.98,0%,$5.21,$147.69,$11.15,$141.38
5450-1,21/9/2019,George Ashbrook,"506 Swan Street,Richmond",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,22/9/2019,$1.59,$2.61,$1.02,3,$33.68,0%,$2.63,$30.63,$0.50,$31.32
5450-1,19/3/2019,Michael Paige,"506 Swan Street,Richmond",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Regular Air,21/3/2019,$2.26,$3.58,$1.32,8,$131.04,4%,$5.57,$129.45,$5.47,$124.45
5450-2,5/7/2018,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Critical,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Small Box,Regular Air,7/7/2018,$2.39,$4.26,$1.87,46,$140.40,9%,$7.02,$133.38,$1.20,$141.16
5451-1,31/3/2019,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Consumer,Nicholas Fernandes,Critical,"DrawIt Colored Pencils, 48-Color Set",Technology,Small Box,Regular Air,31/3/2019,$21.56,$36.55,$14.99,33,$9.11,5%,$0.91,$8.20,$13.89,$10.45
5451-1,31/3/2019,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,DrawIt Colored Pencils,Office Supplies,Small Box,Express Air,31/3/2019,$4.37,$9.11,$4.74,21,$9.11,0%,$0.91,$8.20,$2.25,$10.45
5451-1,31/3/2019,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Regular Air,31/3/2019,$21.56,$36.55,$14.99,15,$9.11,0%,$0.91,$8.20,$13.89,$10.45
5452-1,5/6/2018,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,Low,Apex Straight Scissors,Office Supplies,Small Box,Regular Air,5/6/2018,$5.19,$12.98,$7.79,34,$133.68,3%,$12.04,$131.76,$3.14,$132.36
5453-1,1/4/2019,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,Medium,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Box,Regular Air,2/4/2019,$16.80,$40.97,$24.17,22,"$1,802.68",2%,$144.21,"$1,658.47",$8.99,"$1,667.46"
5453-1,17/10/2019,Sam Craven,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Steady Pocket Accent Highlighters,Office Supplies,Small Pack,Express Air,19/10/2019,$0.93,$1.60,$0.67,33,$80.68,7%,$5.65,$74.41,$1.29,$75.92
5453-1,15/7/2019,Muria Zettner,"6 Mary St,Newtown",Sydney,NSW,Consumer,Samantha Chairs,Low,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,15/7/2019,$2.50,$5.68,$3.18,21,$147.84,0%,$5.95,$131.93,$3.60,$136.14
5454-1,30/3/2018,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,Apex Straight Scissors,Technology,Small Box,Regular Air,31/3/2018,$5.19,$12.98,$7.79,22,$392.95,9%,$0.00,$339.93,$3.14,$342.34
5455-1,14/1/2020,Maya Herman,"273 George Street,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Low,1726 Digital Answering Machine,Technology,Jumbo Drum,Delivery Truck,15/1/2020,$8.82,$20.99,$12.17,50,$872.80,8%,$61.34,$817.58,$4.81,$828.63
5455-1,2/3/2020,Grean Thornton,"73 MacLeay St,Potts Point",Sydney,NSW,Corporate,Natasha Song,High,Artisan 474 Labels,Furniture,Small Pack,Regular Air,4/3/2020,$1.84,$2.88,$1.04,37,$28.40,9%,$0.37,$26.93,$0.99,$26.42
5456-1,16/2/2018,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Low,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Office Supplies,Wrap Bag,Regular Air,22/2/2018,$56.16,$136.98,$80.82,40,$477.50,1%,$0.00,$476.70,$24.49,$485.20
5456-1,4/4/2019,Carlos Daly,"6-8 O'Connell Street,Newtown",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Barrel Sharpener,Office Supplies,Wrap Bag,Regular Air,5/4/2019,$1.46,$3.57,$2.11,4,$146.37,9%,$4.39,$141.98,$4.17,$146.15
5456-1,28/12/2020,Sally Knutson,"81 MacLeay St,Potts Point",Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,4/1/2021,$2.45,$3.89,$1.44,23,$173.62,2%,$1.04,$164.04,$7.01,$161.69
5456-1,17/8/2018,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Furniture,Large Box,Regular Air,17/8/2018,$4.53,$7.30,$2.77,44,$339.55,9%,$33.75,$319.57,$7.72,$339.64
5456-1,7/3/2018,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Small Business,Yvette Biti,Low,Artisan 479 Labels,Office Supplies,Small Box,Express Air,10/3/2018,$1.59,$2.61,$1.02,17,$5.54,4%,$0.00,$6.44,$0.50,$6.04
5457-1,23/11/2018,Justin Hirsh,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Small Business,Phoebe Gour,High,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Wrap Bag,Regular Air,24/11/2018,$1.87,$8.12,$6.25,12,$369.95,10%,$27.80,$359.67,$2.83,$359.36
5457-1,3/4/2019,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Corporate,Radhya Staples,Critical,Smiths Bulldog Clip,Office Supplies,Wrap Bag,Regular Air,5/4/2019,$2.31,$3.78,$1.47,9,$160.54,8%,$1.61,$158.93,$0.71,$159.69
5457-1,29/6/2020,Michelle Huthwaite,"155 Oxford Street,Darlinghurst",Sydney,NSW,Corporate,Samantha Chairs,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Regular Air,3/7/2020,$2.26,$3.58,$1.32,18,$144.00,4%,$1.44,$142.58,$5.47,$143.58
5457-1,3/4/2019,Tom Stivers,"21 Wentworth St,Parramatta",Sydney,NSW,Home Office,Aanya Zhang,High,OIC Bulk Pack Metal Binder Clips,Office Supplies,Wrap Bag,Express Air,2/4/2019,$2.13,$3.49,$1.36,16,$160.52,10%,$1.61,$158.93,$0.76,$159.69
5457-1,3/4/2019,Tom Stivers,"21 Wentworth St,Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,OIC Bulk Pack Metal Binder Clips,Office Supplies,Small Box,Regular Air,2/4/2019,$3.95,$6.08,$2.13,27,$160.54,3%,$1.61,$158.93,$1.82,$159.69
5457-1,4/4/2019,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Consumer,Yvette Biti,High,OIC Bulk Pack Metal Binder Clips,Office Supplies,Small Box,Regular Air,5/4/2019,$3.95,$6.08,$2.13,50,$160.54,10%,$1.61,$158.93,$1.82,$159.69
5457-1,11/8/2019,Benjamin Patterson,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,12 Colored Short Pencils,Office Supplies,Small Box,Express Air,12/8/2019,$1.09,$2.60,$1.51,26,$50.44,3%,$0.12,$49.24,$2.40,$40.07
5457-1,6/9/2020,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,High,"Artisan Flip-Chart Easel Binder, Black",Technology,Jumbo Drum,Delivery Truck,7/9/2020,$13.88,$22.38,$8.50,25,$306.35,2%,$30.27,$378.56,$15.10,$388.33
5457-1,6/12/2020,Dan Lawera,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,High,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Small Box,Express Air,7/12/2020,$2.29,$3.58,$1.29,16,$188.64,10%,$5.35,$158.93,$1.63,$159.69
5458-1,1/10/2019,Jamie Kunitz,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2/10/2019,$4.79,$11.97,$7.18,39,$49.20,10%,$0.00,$45.20,$5.81,$45.90
5458-1,25/6/2020,Denise Monton,"3/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Medium,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Small Box,Regular Air,27/6/2020,$315.61,$500.97,$185.36,27,"$2,753.32",6%,$55.07,"$2,599.59",$69.30,"$2,568.69"
5458-1,24/2/2019,Pauline Chand,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,26/2/2019,$1.84,$2.88,$1.04,13,$59.60,10%,$0.00,$59.00,$0.99,$60.40
5458-1,27/7/2018,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Critical,Steady Pocket Accent Highlighters,Technology,Small Pack,Regular Air,29/7/2018,$0.93,$1.60,$0.67,49,$59.36,2%,$3.95,$53.41,$1.29,$55.14
5459-1,13/2/2019,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,Medium,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,15/12/2019,$2.26,$3.58,$1.32,1,$138.46,2%,$11.84,$124.87,$5.47,$125.66
5459-1,18/2/2020,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Not Specified,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Office Supplies,Wrap Bag,Regular Air,19/2/2020,$56.16,$136.98,$80.82,34,"$2,685.02",0%,$435.82,"$2,588.40",$24.49,"$2,688.40"
5459-1,7/7/2019,Thea Hendricks,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Low,Artisan 477 Labels,Office Supplies,Wrap Bag,Express Air,8/7/2019,$2.29,$3.69,$1.40,21,$41.60,0%,$1.56,$39.00,$0.50,$41.38
5459-1,7/8/2019,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Low,Artisan 478 Labels,Office Supplies,Small Box,Regular Air,9/8/2019,$3.14,$4.91,$1.77,13,$52.00,9%,$2.76,$52.64,$0.50,$53.04
5459-1,19/5/2018,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,20/5/2018,$3.65,$5.98,$2.33,33,$129.05,8%,$3.86,$129.53,$1.49,$122.48
5459-1,20/8/2018,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,Critical,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,22/8/2018,$1.94,$3.08,$1.14,3,$79.90,9%,$2.39,$70.91,$0.99,$80.40
5459-1,18/5/2020,Lisa DeCherney,"531 King St,Newtown",Sydney,NSW,Consumer,Mihael Khan,Medium,Colored Envelopes,Technology,Jumbo Drum,Delivery Truck,25/5/2020,$2.25,$3.69,$1.44,5,$56.92,1%,$3.35,$55.60,$2.50,$55.60
